"Id","Org_name","Grants funded","Grants received","Address","EIN","NTEE"
"124","Charles Stewart Mott Foundation","16433014","","503 S Saginaw St
Ste 1200
Flint, MI 48502
United States","381211227","Philanthropy, Voluntarism, and Grantmaking » Private Grantmaking Foundations, Philanthropy, Voluntarism, and Grantmaking"
"191","DTE Energy Foundation","16424944","","One Energy Plaza 1578 Wcb
Detroit, MI 48226
United States","382708636","Philanthropy, Voluntarism, and Grantmaking » Private Grantmaking Foundations"
"499","Thompson Educational Foundation","10298155","1775000","Po Box 6349
Plymouth, MI 48170
United States","300107259","Philanthropy, Voluntarism, and Grantmaking » Private Independent Foundations, Philanthropy, Voluntarism, and Grantmaking"
"4552","Penske Corporation","10000000","","Detroit, MI
United States","",""
"4528","Ford Motor Company Fund","10000000","","Detroit, MI
United States","",""
"4550","Andrew W. Mellon Foundation","10000000","","140 EAST 62ND STREET
New York, NY 10065
United States","131879954","Educational Institutions » Scholarships, Student Financial Aid, Awards"
"4143","U.S. Department of Labor (DOL)","7654846","","200 Constitution Ave. NW
Washington, DC 20210
United States","",""
"4133","U.S. Department of Justice (DOJ)","7153940","","950 Pennsylvania Avenue, NW
Washington, DC 20530
United States","",""
"146","Detroit Economic Growth Association (DEGA)","6336132","21466501","500 GRISWOLD SUITE 2200
DETROIT, MI 48226
United States","382433720","Community Improvement, Capacity Building » Urban, Community, Community Improvement, Capacity Building"
"4534","Chrysler Group LLC","6000000","","Detroit, MI
United States","",""
"2621","Corporation for National and Community Service","5739138","","1201 New York Avenue, NW
Washington, DC 20525
United States","",""
"4578","Vera and Joseph Dresner Foundation Inc.","5300000","","Detroit, MI
United States","205838578",""
"4556","Rock Ventures","5000000","","1074 WOODWARD AVENUE
Detroit, MI 48226
United States","",""
"4554","A. Paul and Carol C. Schaap Foundation","5000000","","P.O. Box 75000, MC 3302
Detroit, MI 48275
United States","207097647","Philanthropy, Voluntarism, and Grantmaking » Private Independent Foundations"
"4532","General Motors","5000000","","Detroit, MI
United States","",""
"4121","U.S. Department of Transportation (DOT)","4751729","","1200 New Jersey Avenue SE
Suite 300
Washington, DC 20590
United States","",""
"263","Henry Ford Health System","4220190","22366355","1 FORD PLACE  SUITE 5B
DETROIT, MI 48202
United States","381357020","Health - General and Rehabilitative » Community Health Systems, Health - General and Rehabilitative » Health (General and Financing)"
"4094","Robert Wood Johnson Foundation","4019086","","1 College Rd
Princeton, NJ 08540
United States","226029397","Philanthropy, Voluntarism, and Grantmaking » Other Philanthropy, Voluntarism, and Grantmaking Foundations N.E.C., Philanthropy, Voluntarism, and Grantmaking » Private Grantmaking Foundations"
"3903","Federal Emergency Management Agency (FEMA)","3587947","","500 C Street SW
Washington, DC 20472
United States","",""
"3843","National Endowment for the Arts ","3214405","","Detroit, MI
United States","",""
"4505","Arcus Foundation","3023568","","44 West 28th Street, 17th Floor
New York, NY 10001
United States","383332791",""
"4559","J. Paul Getty Trust","3000000","","Los Angeles, CA
United States","",""
"500","Thompson Foundation","2952400","9627000","P.O. Box 6349
Plymouth, MI 48170
United States","383452577","Educational Institutions » Scholarships, Student Financial Aid, Awards"
"592","Carls Foundation","2552025","","6001 N Adams Rd
Ste 215
Bloomfield Hills, MI 48304
United States","386099935","Philanthropy, Voluntarism, and Grantmaking » Private Independent Foundations, Philanthropy, Voluntarism, and Grantmaking"
"4562","Blue Cross Blue Shield of Michigan","2500000","","Detroit, MI
United States","",""
"4056","U.S. Environmental Protection Agency (EPA)","1911704","","Washing, DC
United States","",""
"605","Herrick Foundation","1869979","","660 Woodward Ave
Detroit, MI 48226
United States","386041517",""
"287","Japan America Society (JAS) of Greater Detroit and Windsor","1625000","10320","One Woodward Avenue PO Box 33840
Detroit, MI 48232
United States","382880567","International, Foreign Affairs, and National Security » Promotion of International Understanding"
"4111","Michigan Council of Arts and Cultural Affairs (MCACA)","1556336","","Detroit, MI
United States","",""
"4173","U.S. Department of Commerce (DOC) ","1355626","","Washington, DC
United States","",""
"4707","United Student Aid Funds, Inc (USA Funds)","1250000","","Detroit, MI
United States","946050341","Public, Society Benefit » Financial Institutions/Services (Non-Government Related), Public, Public, Society Benefit"
"4152","U.S. Department of Homeland Security (DHS)","1178277","","Washington, DC
United States","",""
"601","Ethel and James Flinn Foundation","1134000","","333 W Fort St
Detroit, MI 48226
United States","382143122","Philanthropy, Voluntarism, and Grantmaking » Named Trusts/Foundations N.E.C., Philanthropy, Voluntarism, and Grantmaking"
"631","Matilda R. Wilson Fund ","1123334","","Detroit, MI
United States","386087665","Philanthropy, Voluntarism, and Grantmaking » Private Grantmaking Foundations"
"4239","U.S. Department of Veterans Affairs (VA)","1086371","","Washing, DC
United States","",""
"97","Chrysler Foundation","1036756","","1000 Chrysler Dr
Cims 485-13-35
Auburn Hills, MI 48326
United States","386087371",""
"4570","Meijer, Inc","1000000","","Detroit, MI
United States","",""
"4568","J.P. Morgan Chase","1000000","","Detroit, MI
United States","",""
"4566","Comerica Bank","1000000","","Detroit, MI
United States","",""
"4088","Bill & Melinda Gates Foundation Trust","946902","","1551 Eastlake Ave E.
Seattle, WA 98102
United States","911663695","Philanthropy, Voluntarism, and Grantmaking » Private Grantmaking Foundations"
"4247","Comerica Charitable Foundation ","890761","","411 West Lafayette
Mc 3415
Detroit, MI 48226
United States","383373052","Philanthropy, Voluntarism, and Grantmaking, Philanthropy, Voluntarism, and Grantmaking » Private Grantmaking Foundations"
"602","Grosfeld Foundation","821404","","2290 First National Bldg
Detroit, MI 48226
United States","382575307","Philanthropy, Voluntarism, and Grantmaking » Private Grantmaking Foundations"
"4574","Consumers Energy Co","800000","","Detroit, MI
United States","",""
"563","U.S. Department of Education (ED)","785807","","Washington, DC
United States","",""
"4214","U.S. Social Security Administration (SSA)","726930","","Detroit, MI
United States","",""
"4187","U.S. Department of Health and Human Services  (DHHS)","671000","","Washington, DC
United States","",""
"4179","U.S. Department of Defense (DOD)","668336","","Washington, DC
United States","",""
"635","U.S. Department of Agriculture (USDA)","506228","","Washington, DC
United States","",""
"4576","Delta Air Lines Foundation","500000","","P.O. Box 20706
Department 979
Atlanta, GA 30320
United States","586073119",""
"4365","National Foundation on the Arts and Humanities ","212821","","Detroit, MI
United States","",""
"3893","Nathan Cummings Foundation","140000","","475 10th Ave
Floor 14
New York, NY 10018
United States","237093201","Philanthropy, Voluntarism, and Grantmaking, Philanthropy, Voluntarism, and Grantmaking » Private Independent Foundations"
"4460","U.S. Small Business Administration (SBA)","91668","","Detroit, MI
United States","",""
"3898","The Miami Foundation Inc.","80000","","200 S Biscayne Blvd
Ste 505
Miami, FL 33131
United States","650350357","Philanthropy, Voluntarism, and Grantmaking, Philanthropy, Voluntarism, and Grantmaking » Community Foundations, Community Improvement, Capacity Building, Community Improvement, Capacity Building » Urban, Community"
"3896","Creative Capital Foundation ","44440","","65 Bleecker St.
7th Floor
New York, NY 10012
United States","311605982","Arts, Arts, Culture, and Humanities, Arts, Culture, and Humanities » Arts Service Activities/Organizations"
"4738","Scotts Miracle-Gro","40000","","Detroit, MI
United States","",""
"4059","Detroit Recreation Department ","38689","1738304","18100 Meyers
Detroit, MI 48235
United States","",""
"175","Detroit SOUP","37797","92000","2657 AUSTIN
DETROIT, MI 48126
United States","",""
"39","Awesome Foundation","26000","","Detroit, MI
United States","",""
"2590","Sunlight Foundation ","18000","","1818 N Street NW
Suite 300
Washington, DC 20036
United States","203903427","Public, Society Benefit » Government and Public Administration"
"4582","Michigan Economic Development Corporation (MEDC)","5000","","300 N. Washington Sq.
Lansing, MI 48193
United States","",""
"561","Detroit Foundation","2500","","Detroit, MI
United States","",""
"3891","The Bay & Paul Foundations, Inc. ","1000","","17 West 94th Street
1st Floor
New York, NY 10025
United States","131991717",""
"560","YWCA of Metropolitan Detroit","","369000","Detroit, MI
United States","","Human Services » YMCA, YWCA, YWHA, YMHA"
"577","Homeless Action Network of Detroit (HAND)","","490273","Detroit, MI
United States","","Human Services » Services to Promote the Independence of Specific Populations"
"576","Detroit Public Safety Foundation","","355000","Detroit, MI
United States","","Educational Institutions » Education N.E.C."
"575","Voices for Earth Justice","","20000","Detroit, MI
United States","","Environmental Quality Protection, Beautification » Environmental Quality Protection and Beautification N.E.C."
"629","Theatre Bizarre","","100000","Detroit, MI
United States","",""
"632","Winning Futures","","35500","27500 Cosgrove Dr
Warren, MI 48092
United States","202263860","Educational Institutions » Adult, Continuing Ed"
"574","Sierra Club","","304700","Detroit, MI
United States","","Philanthropy, Voluntarism, and Grantmaking » Public Foundations, Environmental Quality Protection, Beautification » Environmental Quality Protection and Beautification N.E.C., Environmental Quality Protection, Beautification » Environmental Education and Outdoor Survival Programs"
"578","Reading Works","","145000","Detroit, MI
United States","","Educational Institutions » Adult, Continuing Ed"
"579","Wayne County SAFE Program","","240000","Detroit, MI
United States","","Mental Health, Crisis Intervention » Rape Victim Services"
"580","Michigan College Access Network","","180000","Detroit, MI
United States","","Educational Institutions » Nonmonetary Support N.E.C."
"581","Public Insights Project","","125000","Detroit, MI
United States","",""
"582","Direct Designations to Various Agencies (600 Woodward 48226)","","20558721","Detroit, MI
United States","",""
"628","The Woodward Line Poetry Series","","30000","Detroit, MI
United States","",""
"583","Undetermined Allocations (600 Woodward 48226)","","8532193","Detroit, MI
United States","",""
"584","City of Detroit","","186571421","Detroit, MI
United States","",""
"585","Pharaoh Industries","","25000","Detroit, MI
United States","",""
"633","Youthville Detroit","","45000","Detroit, MI
United States","",""
"588","Al-Mutanabbi Street Starts Here Project","","20000","Detroit, MI
United States","",""
"634","Zimbabwe Cultural Centre in Detroit","","15000","Detroit, MI
United States","",""
"641","East Detroit Public Schools Transportation","","6372","Detroit, MI
United States","",""
"640","Cityscape Detroit","","35000","Detroit, MI
United States","",""
"540","Wayne State University College of Engineering","","80000","Detroit, MI
United States","",""
"565","Alliance of Rouge Communities","","150000","Canton, MI 48188
United States","223931720","Environmental Quality Protection, Beautification » Natural Resource Conservation and Protection, Environmental Quality Protection, Beautification"
"566","Belle Isle Conservancy","","120200","Detroit, MI
United States","","Environmental Quality Protection, Beautification » Natural Resource Conservation and Protection"
"639","CARE of Southeastern Michigan dba Community Assessment Referral and Education","","75000","Detroit, MI
United States","",""
"568","Detroit Eastside Community Collaborative, Inc","","370000","Detroit, MI
United States","","Community Improvement, Capacity Building » Community Coalitions"
"569","International Wildlife Refuge Alliance","","50000","Detroit, MI
United States","","Environmental Quality Protection, Beautification » Water Resource, Wetlands Conservation & Management"
"638","Baker College","","35100","Detroit, MI
United States","",""
"570","Lawrence Technological University","","22000","Detroit, MI
United States","","Educational Institutions » University or Technological"
"571","Michigan Environmental Council","","175000","Detroit, MI
United States","","Environmental Quality Protection, Beautification » Alliance/Advocacy Organizations"
"572","Millan Theatre Company","","60000","Detroit, MI
United States","381689662","Arts, Culture, and Humanities » Theatre, Arts, Culture, and Humanities » Arts Education/Schools, Arts, Culture, and Humanities » Cultural/Ethnic Awareness"
"637","Arc Michigan","","200000","Detroit, MI
United States","",""
"573","Recovery Park","","1100000","Detroit, MI
United States","",""
"636","Arab American and Chaldean Council","","1515122","Detroit, MI
United States","382311840","Human Services, Human Services » Ethnic/Immigrant Services"
"586","Adrienne Maree Brown","","20000","Detroit, MI
United States","",""
"587","ADULT","","40000","Detroit, MI
United States","",""
"630","Trinosophes","","15000","Detroit, MI
United States","",""
"599","Detroit Community Health Foundation","","100000","Detroit, MI
United States","","Health - General and Rehabilitative » Fundraising and/or Fund Distribution"
"593","Center of Music & Performing Arts Southwest (COMPAS)","","35000","Detroit, MI
United States","",""
"616","Mark Wallace","","8000","Detroit, MI
United States","",""
"615","Maison LaFleur","","12000","Detroit, MI
United States","",""
"600","East Side Riders","","10000","Detroit, MI
United States","",""
"614","M.L. Liebler for the Midtown Detroit Literary Walk","","15000","Detroit, MI
United States","",""
"613","LO & BEHOLD! Records & Books","","30000","Detroit, MI
United States","",""
"612","Leni Sinclair","","10000","Detroit, MI
United States","",""
"611","LeeLeeFilms","","5000","Detroit, MI
United States","",""
"610","Leander Johnson","","6000","Detroit, MI
United States","",""
"609","Jon Brumit","","30000","Detroit, MI
United States","",""
"608","Jeff Karoub","","8000","Detroit, MI
United States","",""
"607","Jazz Network Foundation","","20000","311 E Grand River
Detroit, MI 48226
United States","383342664","Arts, Culture, and Humanities » Music, Arts, Culture, and Humanities"
"603","Hardcore Detroit","","12000","Detroit, MI
United States","",""
"606","Hillel Day School of Metro Detroit","","30000","Detroit, MI
United States","",""
"617","Michigan Arab Orchestra","","100000","Detroit, MI
United States","",""
"598","Detroit Community Health Connection","","114000","Detroit, MI
United States","","Community Improvement, Capacity Building » Community Improvement, Capacity Building N.E.C."
"597","CutTime Productions","","30000","PO Box 36120
Detroit, MI 48326
United States","",""
"627","The Secret Society of Twisted Storytellers","","30000","Detroit, MI
United States","",""
"589","Alonso del Arte","","20000","Detroit, MI
United States","",""
"626","The Hinterlands","","35000","Detroit, MI
United States","",""
"625","Omowale Entertainment","","15000","Detroit, MI
United States","",""
"624","Notes for Notes","","40000","Detroit, MI
United States","",""
"590","Aquaculture Research Corporation","","250000","660 Woodward Ave
2290 First Ntl Bld
Detroit, MI 48226
United States","262589947","Mutual/Membership Benefit Organizations, Other » Research Institutes and/or Public Policy Analysis, Environmental Quality Protection, Beautification"
"591","Ara Topouzian ","","12000","Detroit, MI
United States","",""
"623","North American Residency","","30000","Detroit, MI
United States","",""
"622","N'Namdi Center for Contemporary Art","","160000","52 East Forest Avenue
Detroit, MI 48201
United States","",""
"621","Mt Elliot Makerspace","","50000","Detroit, MI
United States","",""
"620","Motor City Brass Band","","5000","20300 Civic Center Dr
Ste 100
Southfield, MI 48076
United States","383319093","Arts, Culture, and Humanities » Performing Arts"
"619","MODCaR","","25000","Detroit, MI
United States","",""
"594","Christ Child Society of Detroit","","40000","Detroit, MI
United States","","Human Services » Residential, Custodial Care (Group Home)"
"618","Michigan Theater","","50000","Detroit, MI
United States","","Arts, Culture, and Humanities » Performing Arts Center"
"595","Complex Movements","","100000","Detroit, MI
United States","",""
"596","Cosmic Slop Festival","","12000","Detroit, MI
United States","",""
"604","Hatch: A Hamtramck Art Collective","","20000","Detroit, MI
United States","",""
"559","Youth Development Commission","","2875667","Detroit, MI
United States","","Youth Development » Youth Development Programs"
"508","United Health Organization","","11000","Detroit, MI
United States","","Health - General and Rehabilitative » Public Health Programs"
"493","Society of St Vincent de Paul of Detroit","","60000","3000 Gratiot
Detroit, MI 48207
United States","381359592","Human Services » Human Services - Multipurpose and Other N.E.C., Human Services » Emergency Assistance (Food, Clothing, Cash), Religion, Spiritual Development » Roman Catholic, Human Services, Religion, Spiritual Development"
"492","The Salvation Army Eastern Michigan Division","","357000","Detroit, MI
United States","","Human Services » Salvation Army"
"491","The Salvation Army","","2050","Detroit, MI
United States","","Human Services » Salvation Army"
"490","The Parade Company","","150250","9500 Mount Elliott St
Suite A
Detroit, MI 48211
United States","382684772","Recreation, Sports, Leisure, Athletics » County/Street/Civic/Multi-Arts Fairs and Festivals, Recreation, Sports, Leisure, Athletics"
"489","The Foundation Center","","5000","Detroit, MI
United States","",""
"488","Teen HYPE Youth Development Program","","60000","453 Myrtle St
Detroit, MI 48201
United States","262518642","Youth Development, Youth Development » Youth Development Programs, Arts, Culture, and Humanities"
"487","Teach for America, Inc","","3568350","Detroit, MI
United States","","Educational Institutions » Elementary, Secondary Ed, Public, Society Benefit » Leadership Development, Community Improvement, Capacity Building » Community/Neighborhood Development, Improvement"
"486","Take the Time: A Detroit Coloring Book","","145","Detroit, MI
United States","",""
"485","Student African American Brotherhood","","205000","Detroit, MI
United States","",""
"483","Stratford Shakespearean Festival of America","","11700","660 Woodward Ave
2290 First Nat Bld
Detroit, MI 48226
United States","382420887","A, A84"
"494","The YES Foundation","","33000","Detroit, MI
United States","","Youth Development » Youth Development Programs, Educational Institutions » Remedial Reading, Reading Encouragement"
"495","The Yuinon, Inc","","100980","Detroit, MI
United States","","Animal Related » Animal Protection and Welfare (includes Human Societies and SPCA's)"
"507","United Community Housing Coalition","","586775","Detroit, MI
United States","","Housing, Shelter » Alliance/Advocacy Organizations"
"506","U-SNAP-BAC","","60000","Detroit, MI
United States","","Housing, Shelter » Low-Cost Temporary Housing (includes Youth Hostels)"
"505","Twinning Towns: Leipzig - Detroit","","315","Detroit, MI
United States","",""
"504","Turning Point Education Fund","","94000","Detroit, MI
United States","","Educational Institutions » Fundraising and/or Fund Distribution"
"503","Triangle Foundation, Inc","","300000","Detroit, MI
United States","","Civil Rights, Social Action, Advocacy » Lesbian/Gay Rights, Human Services » Victims' Services, Civil Rights, Social Action, Advocacy » Civil Rights, Social Action, Advocacy N.E.C."
"502","Travelers Aid Society of Metropolitan Detroit","","7518416","65 Cadillac Square
Detroit, MI 48226
United States","381358052","Housing, Shelter » Housing Expense Reduction Support, Rent Assistance, Human Services » Emergency Assistance (Food, Clothing, Cash), Human Services » Travelers' Aid"
"501","Transportation Riders United, Inc (TRU)","","105000","Detroit, MI
United States","383588943","Public, Society Benefit » Public, Society Benefit - Multipurpose and Other N.E.C., Community Improvement, Capacity Building"
"498","Third Sector New England, Inc","","37500","Detroit, MI
United States","","Community Improvement, Capacity Building » Nonprofit Management, Public, Society Benefit » Management & Technical Assistance"
"497","Think Detroit PAL, Inc","","1229102","Detroit, MI
United States","","Human Services » Family Services"
"496","Theodore Levin Memorial Foundation","","50253","Detroit, MI
United States","","Educational Institutions » Scholarships, Student Financial Aid, Awards"
"482","State Voices","","3048000","Detroit, MI
United States","","Civil Rights, Social Action, Advocacy » Voter Education/Registration, Civil Rights, Social Action, Advocacy » Management & Technical Assistance, Civil Rights, Social Action, Advocacy » Fundraising and/or Fund Distribution"
"481","State of Michigan","","5000","Detroit, MI
United States","",""
"480","Starfish Family Services","","536350","Detroit, MI
United States","","Human Services » Children's and Youth Services, Mental Health, Crisis Intervention » Mental Health Treatment, Educational Institutions » Kindergarten, Nursery Schools, Preschool, Early Admissions"
"466","Southwest Solutions, Inc","","638019","1700 Waterman St
Detroit, MI 48209
United States","382672000",""
"465","Southwest Rides","","805","Detroit, MI
United States","",""
"464","Southwest Housing Solutions Corporation","","11286089","Detroit, MI
United States","","Housing, Shelter » Housing Development, Construction, Management"
"463","Southwest Detroit Environmental Vision Project","","1285590","Detroit, MI
United States","","Environmental Quality Protection, Beautification » Alliance/Advocacy Organizations"
"462","Southwest Detroit Community Benefits Coalition","","125000","Detroit, MI
United States","","Environmental Quality Protection, Beautification » Alliance/Advocacy Organizations"
"461","Southwest Detroit Business Association","","2364500","Detroit, MI
United States","","Community Improvement, Capacity Building » Business and Industry"
"460","Southwest Counseling Solutions, Inc","","2154276","Detroit, MI
United States","","Mental Health, Crisis Intervention » Communiy Mental Health Center"
"459","Southwest Community Mental Health Services Group, Inc","","96000","Detroit, MI
United States","","Mental Health, Crisis Intervention » Communiy Mental Health Center, Health - General and Rehabilitative » Health Support Services"
"458","Southeastern Michigan Health Association","","2525210","Detroit, MI
United States","","Health - General and Rehabilitative » Public Health Programs"
"457","Southeast Michigan Community Alliance","","1750000","25363 EUREKA RD
TAYLOR, MI 48180
United States","382675191","Mental Health, Crisis Intervention, Mental Health, Crisis Intervention » Alcohol, Drug, and Substance Abuse, Dependency, Prevention and Treatment"
"467","Spaulding Court","","1381","Detroit, MI
United States","",""
"468","Sphinx Organization, Inc","","2801206","400 RENAISSANCE CENTER STE 2550
DETROIT, MI 48243
United States","","Arts, Culture, and Humanities » Arts Education/Schools, Arts, Culture, and Humanities » Cultural/Ethnic Awareness, Youth Development » Youth Development Programs"
"479","St Patrick Senior Center, Inc","","340448","Detroit, MI
United States","","Human Services » Senior Centers/Services"
"478","St Maron Maronite Catholic Church","","10000","Detroit, MI
United States","","Religion, Spiritual Development » Roman Catholic"
"477","St John's/St Luke's Evangical United Church of Detroit","","20000","Detroit, MI
United States","",""
"476","St John Hospital and Medical Center","","1400000","Detroit, MI
United States","","Health - General and Rehabilitative » Hospital (General)"
"475","St John Health Foundation","","30300","Detroit, MI
United States","","Health - General and Rehabilitative » Single Organization Support"
"474","St John Community Health Investment Corporation","","62250","Detroit, MI
United States","","Health - General and Rehabilitative » Community Health Systems"
"473","St John Community Center","","200000","Detroit, MI
United States","","Human Services » Family Services"
"472","St Christine Community Services","","60000","Detroit, MI
United States","","Human Services » Family Services"
"471","St Boniface Church","","1920","Detroit, MI
United States","","Religion, Spiritual Development » Roman Catholic"
"470","SS Peter and Paul Jesuit Church","","5000","Detroit, MI
United States","","Religion, Spiritual Development » Roman Catholic"
"456","Society of St Vincent de Paul (SVDP) - Detroit","","255809","Detroit, MI
United States","381359592","Human Services » Human Service Organizations, Human Services, Human Services » Human Services - Multipurpose and Other N.E.C., Human Services » Emergency Assistance (Food, Clothing, Cash), Religion, Spiritual Development, Religion, Spiritual Development » Roman Catholic"
"509","United Jewish Foundation","","15000","Detroit, MI
United States","","Philanthropy, Voluntarism, and Grantmaking » Fundraising Organizations that Cross Categories (includes Community Funds/Trusts and Federated Giving Programs), e.g., United Way"
"558","Youth Connection, Inc","","479509","Detroit, MI
United States","","Youth Development » Youth Development Programs"
"545","WDET-FM, Public Radio in Detroit","","77384","Detroit, MI
United States","","Arts, Culture, and Humanities » Media, Communications Organizations, Arts, Culture, and Humanities » Radio"
"544","Wayne State University TechTown","","11061000","Detroit, MI
United States","","Community Improvement, Capacity Building » Economic Development"
"543","Wayne State University Research & Technology","","9218500","Detroit, MI
United States","","Educational Institutions » University or Technological, Educational Institutions » Research Institutes and/or Public Policy Analysis"
"542","Wayne State University Press","","72500","Detroit, MI
United States","","Educational Institutions » University or Technological, Arts, Culture, and Humanities » Printing, Publishing"
"541","Wayne State University Damen Keith Collection","","25000","Detroit, MI
United States","",""
"484","Strong & Beautiful","","1000","Detroit, MI
United States","",""
"539","Wayne State University","","16310672","Detroit, MI
United States","","Educational Institutions » University or Technological"
"538","Wayne County Sheriff Office","","113305","Detroit, MI
United States","",""
"537","Wayne County Neighborhood Legal Services","","109850","Detroit, MI
United States","","Crime, Legal Related » Legal Services"
"536","Wayne County Kidspace","","218450","Detroit, MI
United States","","Unknown » Unknown N.E.C."
"546","We Care Senior Meals Program","","6000","Detroit, MI
United States","","Agriculture, Food, Nutrition » Meals on Wheels"
"547","Wellspring","","220000","Detroit, MI
United States","","Crime, Legal Related » Delinquincy Prevention"
"557","Young Nation","","35000","Detroit, MI
United States","","Youth Development » Youth Development Programs"
"556","Young Detroit Builders","","105000","Detroit, MI
United States","","Unknown » Unknown N.E.C."
"555","YMCA of Metropolitan Detroit","","1680493","Detroit, MI
United States","","Human Services » YMCA, YWCA, YWHA, YMHA"
"554","Yellow Tigers, Inc","","1000","Detroit, MI
United States","","Recreation, Sports, Leisure, Athletics » Sports Training Facilities"
"553","Xconomy","","80000","Detroit, MI
United States","",""
"552","World Medical Relief, Inc. ","","364767","Detroit, MI
United States","381575570","Human Services, Human Services » Human Service Organizations, Health - General and Rehabilitative, Health - General and Rehabilitative » Health Support Services, Human Services » Human Services - Multipurpose and Other N.E.C."
"551","Women's Leadership Forum","","171000","Detroit, MI
United States","","Employment, Job Related » Employment Training"
"550","Women of Tomorrow: Philadelphia, Detroit, Charlotte, Palm Beach - Women of Tomorrow Mentor and Scholarship Program","","3089923","Detroit, MI
United States","","Youth Development » Adult, Child Matching Programs, Youth Development » Youth Development Programs"
"549","Wolverine Solutions Group","","7011","Detroit, MI
United States","",""
"548","Wireless Internet Infrastructure - New America Foundation","","250000","Detroit, MI
United States","","Social Science Research Institutes » Research Institutes and/or Public Policy Analysis"
"535","Wayne County","","39300","Detroit, MI
United States","",""
"534","Wayne Children's Healthcare Access Program","","1500000","17567 Hubbell St
Detroit, MI 48235
United States","454949783","E, E21"
"533","Warren-Connor Development Coalition, Inc","","1463378","Detroit, MI
United States","","Community Improvement, Capacity Building » Urban, Community"
"520","University Research Corridor","","450000","500 E. Michigan Ave.
Suite 120
Detroit, MI 48912
United States","",""
"519","University Preparatory Academy","","700000","Detroit, MI
United States","","Educational Institutions » Primary/Elementary School, Educational Institutions » Secondary/High School"
"518","University of Michigan","","10000","Detroit, MI
United States","","Educational Institutions » University or Technological"
"517","University of Detroit Mercy","","26193531","Detroit, MI
United States","","Educational Institutions » University or Technological"
